State,State_Abbreviation,Year,EduLevel,EduLevelCode,Births
Texas,TX,2019,Unknown or Not Stated,-9,977
Texas,TX,2020,8th grade or less,1,11387
Texas,TX,2020,9th through 12th grade with no diploma,2,42089
Texas,TX,2020,"Associate degree (AA, AS)",5,24940
Texas,TX,2020,"Bachelor's degree (BA, AB, BS)",6,70476
Texas,TX,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,7541
Texas,TX,2020,High school graduate or GED completed,3,107422
Texas,TX,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,26494
Texas,TX,2020,"Some college credit, but not a degree",4,76555
Texas,TX,2020,Unknown or Not Stated,-9,1286
Texas,TX,2021,8th grade or less,1,11460
Texas,TX,2021,9th through 12th grade with no diploma,2,38771
Texas,TX,2021,"Associate degree (AA, AS)",5,26431
Texas,TX,2021,"Bachelor's degree (BA, AB, BS)",6,74309
Texas,TX,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,8373
Texas,TX,2021,High school graduate or GED completed,3,108790
Texas,TX,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,28873
Texas,TX,2021,"Some college credit, but not a degree",4,74910
Texas,TX,2021,Unknown or Not Stated,-9,1677
